lemma	citation_form	pos	primary_gloss	gloss_candidates	review_gloss_summary	english_glosses	all_glosses	gloss_counts	inflected_forms	token_count	form_count	compounds	top_collocates	example_verses	is_polysemous	is_grammatical	needs_review	entry_status	polysemy_notes	grammaticalization_notes	sense_count	pos_variants	entry_type	lexical_frequency	grammatical_frequency	review_priority	backend_issues
Jabeshgilead-A	Jabeshgilead-A	PROP	?	JABESHGILEAD			JABESHGILEAD	JABESHGILEAD:2	jabeshgilead-a	2	1		pai:1	07021010|07021012	0	0	0	clean			1	PROP:2	lexical	2	0	low	
suahloh	suahloh	N	swear	swear		swear	swear	swear:2	suahloh|suahlohna	2	2		mawh:1|ding:1|mawk:1|thu:1	07021022|52002001	0	0	0	clean			1	N:2	lexical	2	0	low	
Bethlehem-A	Bethlehem-A	PROP	?	BETHLEHEM			BETHLEHEM	BETHLEHEM:2	bethlehem-a	2	1		gam:1|hang:1	08001002|09017015	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Orpah	Orpah	PROP	Orpah	ORPAH			ORPAH	ORPAH:2	orpah	2	1		min:1|hi:1	08001004|08001014	0	0	0	clean			1	PROP:2	lexical	2	0	low	
kilehkik	kilehkik	UNK	Kilehkik	KILEHKIK|return		return	KILEHKIK|return	KILEHKIK:1|return:1	kilehkiksak|“kilehkik	2	2		hang:1|zang:1|thei:1	08001011|24021002	0	0	1	clean			2	UNK:1|V:1	lexical	2	0	low	multiple_pos_variants
lia	lia	UNK	exceed	exceed|hope	exceed | hope	exceed|hope	exceed|hope	exceed:1|hope:1	lialua-in|lialuanate	2	2		lu:1|gam:1|zuaupi:1	08001019|24003023	1	0	1	polysemous_review			2	UNK:1|N:1	lexical	2	0	low	multiple_pos_variants
anvui	anvui	N	gleaning	gleaning		gleaning	gleaning	gleaning:2	anvui|anvuite	2	2		nung:1|lak:1|lum:1|thak:1	08002002|12004042	0	0	0	clean			1	N:2	lexical	2	0	low	
leem	leem	N	mark.place	mark.place		mark.place	mark.place	mark.place:2	leem|leemin	2	2		puan:2|lum:1|sak:1	08003004|08003007	0	0	0	clean			1	N:2	lexical	2	0	low	
Shiloh-A	Shiloh-A	PROP	?	SHILOH			SHILOH	SHILOH:2	shiloh-a	2	1		khat:1|mun:1	09001024|24007014	0	0	0	clean			1	PROP:2	lexical	2	0	low	
sikkeuka	sikkeuka	N	fleshhook	fleshhook		fleshhook	fleshhook	fleshhook:2	sikkeuka|sikkeukate	2	2		hi:2|ihkhiattoh:1|beel:1	09002014|14004016	0	0	0	clean			1	N:2	lexical	2	0	low	
Ikhabod	Ikhabod	PROP	Ikhabod	IKHABOD			IKHABOD	IKHABOD:2	ikhabod	2	1		min:1|ta:1	09004021|09014003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ebenezer	Ebenezer	PROP	Ebenezer	EBENEZER			EBENEZER	EBENEZER:2	ebenezer	2	1		ciang:1|min:1	09005001|09007012	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ashdod-Ah	Ashdod-Ah	PROP	?	ASHDOD			ASHDOD	ASHDOD:2	ashdod-ah	2	1		pan:1|khua:1	09005001|23020001	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Matri	Matri	PROP	Matri	MATRI			MATRI	MATRI:2	matri	2	1		ai:1|tawpna:1	09010021|09010021	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ammon-Te	Ammon-Te	PROP	?	AMMON			AMMON	AMMON:2	ammon-te	2	1		ni:1|gal:1	09011011|09014047	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Shual	Shual	PROP	Shual	SHUAL			SHUAL	SHUAL:2	shual	2	1		pawl:1|suan:1	09013017|13007036	0	0	0	clean			1	PROP:2	lexical	2	0	low	
kaihna	kaihna	N	furrow	furrow|REFL	furrow | REFL	furrow	REFL|furrow	furrow:1|REFL:1	kaihna|kikaihna	2	2		zui:1|kuak:1|dung:1|sa:1|mun:1	09014014|24022012	0	1	1	mixed_lex_gram			2	N:2	mixed	1	1	low	mixed_lex_gram_needs_split
karmel	karmel	UNK	Karmel	KARMEL			KARMEL	KARMEL:2	“karmel-ah	2	1		hi:1|tangval:1	09015012|09025005	0	0	1	clean			1	UNK:2	lexical	2	0	low	
sathaukhal	sathaukhal	N	cheese	cheese		cheese	cheese	cheese:2	sathaukhal|sathaukhalte	2	2		hi:1|pua:1|tuu:1|David:1|om:1	09017018|10017029	0	0	0	clean			1	N:2	lexical	2	0	low	
abner	abner	UNK	Abner	ABNER			ABNER	ABNER:2	“abner	2	1		mang:1|sam:1	09017055|09026014	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Meholah	Meholah	PROP	Meholah	MEHOLAH			MEHOLAH	MEHOLAH:2	meholah	2	1		lai:1|ta:1	09018019|10021008	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Adriel	Adriel	PROP	Adriel	ADRIEL			ADRIEL	ADRIEL:2	adriel	2	1		mi:1|ta:1	09018019|10021008	0	0	0	clean			1	PROP:2	lexical	2	0	low	
nkhiat	nkhiat	V	set.forward	1SG		set.forward	1SG	1SG:2	kankhiat|kankhiatna	2	2		tawng:1|ciang:1|thu:1|ding:1	09020012|44025020	0	1	0	clean			1	V:2	grammatical	0	2	low	
n	n	V	I/my	1SG		leap	1SG	1SG:2	kanzaw	2	1		phawk:1|lai:1|siam:1	09020019|27005012	0	1	0	clean			1	V:2	grammatical	0	2	low	
ahitub	ahitub	UNK	?	AHITUB.POSS			AHITUB.POSS	AHITUB.POSS:2	“ahitub	2	1		dawng:1|ciang:1	09022009|09022012	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Horesh	Horesh	PROP	Horesh	HORESH			HORESH	HORESH:2	horesh	2	1		gam:1|mual:1	09023015|09023019	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Horesh-Ah	Horesh-Ah	PROP	?	HORESH			HORESH	HORESH:2	horesh-ah	2	1		ding:1|hi:1	09023016|09023018	0	0	0	clean			1	PROP:2	lexical	2	0	low	
jeshimon	jeshimon	UNK	Jeshimon	JESHIMON			JESHIMON	JESHIMON:2	“jeshimon	2	1		pai:2	09023019|09026001	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Jeshimon	Jeshimon	PROP	Jeshimon	JESHIMON			JESHIMON	JESHIMON:2	jeshimon	2	1		mi:1|ciang:1	09023024|09026003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
uisi	uisi	N	viper	viper		viper	viper	viper:2	uisi	2	1		hi:2|maw:1|bang:1	09024014|10016009	0	0	0	clean			1	N:2	lexical	2	0	low	
uili	uili	N	vile	vile		vile	vile	vile:2	uili	2	1		maw:2|pa:1|lel:1	09024014|09026020	0	0	0	clean			1	N:2	lexical	2	0	low	
Karmel-Ah	Karmel-Ah	PROP	?	KARMEL			KARMEL	KARMEL:2	karmel-ah	2	1		hi:1|bawl:1	09025002|09025007	0	0	0	clean			1	PROP:2	lexical	2	0	low	
thuksak	thuksak	V	plead	plead		plead	plead	plead:2	thuksakin	2	1		hong:2|siat:1|mi:1	09025039|10022048	0	0	0	clean			1	V:2	lexical	2	0	low	
maikun	maikun	N	face.to	face.to		face.to	face.to	face.to:2	maikun|maikunin	2	2		ding:1|en:1|thei:1|zah:1	09025041|09028014	0	0	0	clean			1	N:2	lexical	2	0	low	
kamtaite	kamtaite	UNK	messenger	messenger		messenger	messenger	messenger:2	kamtaite	2	1		hi:1|kip:1	09025042|23044026	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Gallim	Gallim	PROP	Gallim	GALLIM			GALLIM	GALLIM:2	gallim	2	1		zi:1	09025044|23010030	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Shunem-Ah	Shunem-Ah	PROP	?	SHUNEM			SHUNEM	SHUNEM:2	shunem-ah	2	1		pai:1|khat:1	09028004|12004008	0	0	0	clean			1	PROP:2	lexical	2	0	low	
dawtlet	dawtlet	N	secretly	secretly		secretly	secretly	secretly:2	dawtlet|dawtletin	2	2		hong:3|ci:1	09031004|09031004	0	0	0	clean			1	N:2	lexical	2	0	low	
Jabesh-Ah	Jabesh-Ah	PROP	?	JABESH			JABESH	JABESH:2	jabesh-ah	2	1		hi:1|la:1	09031012|13010012	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Abital	Abital	PROP	?	ABITAL.POSS|ABITAL	ABITAL.POSS | ABITAL		ABITAL|ABITAL.POSS	ABITAL.POSS:1|ABITAL:1	abital	2	1		nga:1	10003004|13003003	1	0	1	polysemous_review			1	PROP:2	lexical	2	0	low	
Eglah	Eglah	PROP	Eglah	EGLAH			EGLAH	EGLAH:2	eglah	2	1		zi:2	10003005|13003003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ithream	Ithream	PROP	Ithream	ITHREAM			ITHREAM	ITHREAM:2	ithream	2	1		zi:1|guk:1	10003005|13003003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Khun	Khun	PROP	Khun	KHUN|KHUN.POSS			KHUN|KHUN.POSS	KHUN:1|KHUN.POSS:1	khun	2	1		ciang:1|lam:1	10003029|45010003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
jebus	jebus	UNK	Jebus	JEBUS			JEBUS	JEBUS:2	“jebus	2	1		ni:1	10005008|13011006	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Baalperazim-Ah	Baalperazim-Ah	PROP	?	BAALPERAZIM			BAALPERAZIM	BAALPERAZIM:2	baalperazim-ah	2	1		ciang:2	10005020|13014011	0	0	0	clean			1	PROP:2	lexical	2	0	low	
tuikhang	tuikhang	UNK	Tuikhang	TUIKHANG		water	TUIKHANG	TUIKHANG:2	“tuikhang	2	1		ciang:2	10005020|13014011	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Baalperazim	Baalperazim	PROP	Baalperazim	BAALPERAZIM			BAALPERAZIM	BAALPERAZIM:2	baalperazim	2	1		mun:1|min:1	10005020|13014011	0	0	0	clean			1	PROP:2	lexical	2	0	low	
kungte	kungte	UNK	trunk	trunk		trunk	trunk	trunk:2	kungte	2	1		lung:2	10005024|13014014	0	0	1	clean			1	UNK:2	lexical	2	0	low	
mefibosheth	mefibosheth	UNK	Mefibosheth	MEFIBOSHETH			MEFIBOSHETH	MEFIBOSHETH:2	“mefibosheth|“mefibosheth!”	2	2		ciang:1|ama:1	10009006|10019025	0	0	1	clean			1	UNK:2	lexical	2	0	low	
huat	huat	N	hate	hate		hate	hate	hate:2	huat|huatbawlin	2	2		mi:2|hong:1|nin:1	10010006|34003006	0	0	0	clean			1	N:2	lexical	2	0	low	
Shobak	Shobak	PROP	Shobak	SHOBAK			SHOBAK	SHOBAK:2	shobak	2	1		mang:2	10010016|10010018	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Eliam	Eliam	PROP	?	ELIAM.POSS|ELIAM	ELIAM.POSS | ELIAM		ELIAM|ELIAM.POSS	ELIAM.POSS:1|ELIAM:1	eliam	2	1		zi:1|ta:1	10011003|10023034	1	0	1	polysemous_review			1	PROP:2	lexical	2	0	low	
galsim	galsim	UNK	Galsim	GALSIM			GALSIM	GALSIM:2	“galsim	2	1		lai:1|kunh:1	10011015|10021017	0	0	1	clean			1	UNK:2	lexical	2	0	low	
nuamtakin	nuamtakin	UNK	Nuamtakin	NUAMTAKIN		want	NUAMTAKIN	NUAMTAKIN:2	“nuamtakin	2	1		ama:2	10015009|12005019	0	0	1	clean			1	UNK:2	lexical	2	0	low	
tankhia	tankhia	V	redeem	redeem		redeem	redeem	redeem:2	tankhiasak|tankhiazo	2	2		hong:1|ci:1|nuntak:1	10016009|20013008	0	0	0	clean			1	V:1|UNK:1	lexical	2	0	low	multiple_pos_variants
arkhi	arkhi	UNK	Arkhi	ARKHI			ARKHI	ARKHI:2	“arkhi	2	1		ciang:1|mi:1	10017005|10017014	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Lodebar	Lodebar	PROP	Lodebar	LODEBAR			LODEBAR	LODEBAR:2	lodebar	2	1		ta:1	10017027|30006013	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Rogelim	Rogelim	PROP	Rogelim	ROGELIM			ROGELIM	ROGELIM:2	rogelim	2	1		ta:1	10017027|10019031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Besan	Besan	PROP	Besan	BESAN			BESAN	BESAN:2	besan	2	1		bepi:1|hi:1	10017028|10023011	0	0	0	clean			1	PROP:2	lexical	2	0	low	
ngel	ngel	N	wander	wander		wander	wander	wander:2	ngel|ngelin	2	2		pia:1|ding:1|sa:1|gen:1	10018011|54001007	0	0	0	clean			1	N:2	lexical	2	0	low	
makhelh	makhelh	N	backslide	backslide		backslide	backslide	backslide:2	makhelh|makhelhin	2	2		mipa:1|hi:1|pa:1|han:1	10018023|43020004	0	0	0	clean			1	N:2	lexical	2	0	low	
hoih~hoih	hoih~hoih	UNK	be.good~REDUP	be.good~REDUP		be.good~REDUP	be.good~REDUP	be.good~REDUP:2	hoihhoih	2	1		kumpi:1|mipa:1	10018029|10018032	0	0	1	clean			1	UNK:2	lexical	2	0	low	
zineute	zineute	UNK	concubine	concubine		concubine	concubine	concubine:2	zineute	2	1		zi:1|hi:1	10019005|13003009	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Sheva	Sheva	PROP	Sheva	SHEVA			SHEVA	SHEVA:2	sheva	2	1		sat:1	10020025|13002049	0	0	0	clean			1	PROP:2	lexical	2	0	low	
sagihte	sagihte	UNK	seven	seven		seven	seven	seven:2	sagihte	2	1		mi:1|pawl:1	10021013|66001020	0	0	1	clean			1	UNK:2	lexical	2	0	low	
nakvang	nakvang	N	nostril	nostril		nostril	nostril	nostril:2	nakvang|nakvangte	2	2		pan:2|ama:1	10022009|19018008	0	0	0	clean			1	N:2	lexical	2	0	low	
kulhkongpi	kulhkongpi	UNK	Kulhkongpi	KULHKONGPI			KULHKONGPI	KULHKONGPI:2	“kulhkongpi	2	1		lung:1|ciang:1	10023015|13011017	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Ribai	Ribai	PROP	?	RIBAI.POSS			RIBAI.POSS	RIBAI.POSS:2	ribai	2	1		khua:2	10023029|13011031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Shaalbon	Shaalbon	PROP	Shaalbon	SHAALBON			SHAALBON	SHAALBON:2	shaalbon	2	1		khua:1	10023032|13011033	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Eliahba	Eliahba	PROP	Eliahba	ELIAHBA			ELIAHBA	ELIAHBA:2	eliahba	2	1		khua:2	10023032|13011033	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ahiam	Ahiam	PROP	Ahiam	AHIAM			AHIAM	AHIAM:2	ahiam	2	1		ta:2	10023033|13011035	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Hezro	Hezro	PROP	Hezro	HEZRO			HEZRO	HEZRO:2	hezro	2	1		khua:2	10023035|13011037	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Zelek	Zelek	PROP	Zelek	ZELEK			ZELEK	ZELEK:2	zelek	2	1		mi:2	10023037|13011039	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Naharai	Naharai	PROP	Naharai	NAHARAI			NAHARAI	NAHARAI:2	naharai	2	1		khua:2	10023037|13011039	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Jazer-Ah	Jazer-Ah	PROP	?	JAZER			JAZER	JAZER:2	jazer-ah	2	1		manawh:1|gam:1	10024005|13026031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
heksuk	heksuk	N	strong	strong		strong	strong	strong:2	heksuk|heksukna	2	2		hi:1|hektoh:1|hek:1	11002002|19139002	0	0	0	clean			1	N:2	lexical	2	0	low	
shunem	shunem	UNK	Shunem	SHUNEM			SHUNEM	SHUNEM:2	“shunem	2	1		sam:1	11002021|12004036	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Hilo	Hilo	PROP	Hilo	HILO			HILO	HILO:2	hilo	2	1		khat:1|ahi:1	11003023|40005037	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ahishar	Ahishar	PROP	Ahishar	AHISHAR			AHISHAR	AHISHAR:2	ahishar	2	1		nasep:1|tapa:1	11004006|13007010	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Abda	Abda	PROP	?	ABDA.POSS			ABDA.POSS	ABDA.POSS:2	abda	2	1		nasep:1|ta:1	11004006|16011017	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Adoniram	Adoniram	PROP	Adoniram	ADONIRAM			ADONIRAM	ADONIRAM:2	adoniram	2	1		ta:1|hi:1	11004006|11005014	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Jokmeam	Jokmeam	PROP	Jokmeam	JOKMEAM			JOKMEAM	JOKMEAM:2	jokmeam	2	1		pan:1	11004012|13006068	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ramothgilead	Ramothgilead	PROP	Ramothgilead	RAMOTHGILEAD			RAMOTHGILEAD	RAMOTHGILEAD:2	ramothgilead	2	1		go:1	11004013|14018002	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ezrah	Ezrah	PROP	Ezrah	EZRAH|EZRAH.POSS			EZRAH|EZRAH.POSS	EZRAH:1|EZRAH.POSS:1	ezrah	2	1		pil:1|hi:1	11004031|13004016	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Kalkol	Kalkol	PROP	Kalkol	KALKOL			KALKOL	KALKOL:2	kalkol	2	1		ta:1|tapa:1	11004031|13002006	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Lebanon-Ah	Lebanon-Ah	PROP	?	LEBANON			LEBANON	LEBANON:2	lebanon-ah	2	1		hi:1	11005014|11005014	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ziv	Ziv	PROP	Ziv	ZIV			ZIV	ZIV:2	ziv	2	1		ahi:1|lin:1	11006001|11006037	0	0	0	clean			1	PROP:2	lexical	2	0	low	
kitawh	kitawh	N	quarry	quarry		quarry	quarry	quarry:2	kitawhkhiatna|kitawhna	2	2		ciang:1|mun:1|hong:1|khuk:1|en:1	11006007|23051001	0	0	0	clean			1	N:2	lexical	2	0	low	
mante	mante	UNK	true	true		true	true	true:2	mante	2	1		ci:1|sanggam:1	11008047|14030009	0	0	1	clean			1	UNK:2	lexical	2	0	low	
utong	utong	N	peacock	peacock		peacock	peacock	peacock:2	utong|utongte	2	2		zawng:2|hong:2	11010022|14009021	0	0	0	clean			1	N:2	lexical	2	0	low	
Genubath	Genubath	PROP	Genubath	GENUBATH			GENUBATH	GENUBATH:2	genubath	2	1		ta:1|tapa:1	11011020|11011020	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Zeredah	Zeredah	PROP	Zeredah	ZEREDAH			ZEREDAH	ZEREDAH:2	zeredah	2	1		nasem:1|zang:1	11011026|14004017	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Ginath	Ginath	PROP	?	GINATH.POSS			GINATH.POSS	GINATH.POSS:2	ginath	2	1		ding:1|mi:1	11016021|11016022	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Kherith	Kherith	PROP	Kherith	KHERITH			KHERITH	KHERITH:2	kherith	2	1		lam:2	11017003|11017005	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Zarefath-Ah	Zarefath-Ah	PROP	?	ZAREFATH			ZAREFATH	ZAREFATH:2	zarefath-ah	2	1		khua:1|ding:1	11017009|11017010	0	0	0	clean			1	PROP:2	lexical	2	0	low	
sagihvei	sagihvei	UNK	Sagihvei	SAGIHVEI		seven	SAGIHVEI	SAGIHVEI:2	“sagihvei	2	1		ciang:1	11018043|40018022	0	0	1	clean			1	UNK:2	lexical	2	0	low	
paikhia	paikhia	UNK	Paikhia	PAIKHIA		go	PAIKHIA	PAIKHIA:2	“paikhia	2	1		ciang:1|mi:1	11019011|25004015	0	0	1	clean			1	UNK:2	lexical	2	0	low	
benhadad	benhadad	UNK	Benhadad	BENHADAD			BENHADAD	BENHADAD:2	“benhadad	2	1		ama:1|pai:1	11020002|11020005	0	0	1	clean			1	UNK:2	lexical	2	0	low	
kilemna	kilemna	UNK	Kilemna	KILEMNA			KILEMNA	KILEMNA:2	“kilemna	2	1		min:1	11020018|58007002	0	0	1	clean			1	UNK:2	lexical	2	0	low	
cipnelh	cipnelh	N	cringe	cringe		cringe	cringe	cringe:2	cipnelh|cipnelhin	2	2		kulh:1|hi:1|hong:1|si:1	11020030|42023030	0	0	0	clean			1	N:2	lexical	2	0	low	
Shilhi	Shilhi	PROP	?	SHILHI.POSS			SHILHI.POSS	SHILHI.POSS:2	shilhi	2	1		hi:2	11022042|14020031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
hupipa	hupipa	UNK	chariot	chariot		chariot	chariot	chariot:2	hupipa|hupipa!”	2	2		mi:2	12002012|12013014	0	0	1	clean			1	UNK:2	lexical	2	0	low	
jehu	jehu	UNK	Jehu	JEHU			JEHU	JEHU:2	“jehu	2	1		tum:1|ciang:1	12009013|12009022	0	0	1	clean			1	UNK:2	lexical	2	0	low	
aisanna	aisanna	V	familiar.spirit	familiar.spirit		familiar.spirit	familiar.spirit	familiar.spirit:2	aisannate	2	1		pak:1|zah:1|mibum:1|kip:1	12009022|23047012	0	0	0	clean			1	V:2	lexical	2	0	low	
ahaziah	ahaziah	UNK	Ahaziah	AHAZIAH|AHAZIAH.POSS			AHAZIAH|AHAZIAH.POSS	AHAZIAH:1|AHAZIAH.POSS:1	“ahaziah	2	1		tai:1|dawng:1	12009023|12010013	0	0	1	clean			1	UNK:2	lexical	2	0	low	
siakkhia	siakkhia	N	die.out	die.out|REFL	die.out | REFL	die.out	REFL|die.out	die.out:1|REFL:1	kisiakkhia|siakkhia	2	2		pan:1|hi:1|mi:1|mang:1	12010028|38005003	0	1	1	mixed_lex_gram			2	N:2	mixed	1	1	low	mixed_lex_gram_needs_split
Zibiah	Zibiah	PROP	Zibiah	ZIBIAH			ZIBIAH	ZIBIAH:2	zibiah	2	1		min:2	12012001|14024001	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Jehoaddin	Jehoaddin	PROP	Jehoaddin	JEHOADDIN			JEHOADDIN	JEHOADDIN:2	jehoaddin	2	1		min:2	12014002|14025001	0	0	0	clean			1	PROP:2	lexical	2	0	low	
lebanon	lebanon	UNK	Lebanon	LEBANON			LEBANON	LEBANON:2	“lebanon-a	2	1		pua:2	12014009|14025018	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Amittai	Amittai	PROP	?	AMITTAI.POSS			AMITTAI.POSS	AMITTAI.POSS:2	amittai	2	1		kamsangpa:1|topa:1	12014025|32001001	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Jekoliah	Jekoliah	PROP	Jekoliah	JEKOLIAH			JEKOLIAH	JEKOLIAH:2	jekoliah	2	1		min:2	12015002|14026003	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Gadi	Gadi	PROP	?	GADI.POSS			GADI.POSS	GADI.POSS:2	gadi	2	1		pan:1|kum:1	12015014|12015017	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Shalmaneser	Shalmaneser	PROP	Shalmaneser	SHALMANESER			SHALMANESER	SHALMANESER:2	shalmaneser	2	1		kumpi:2	12017003|12018009	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Avva	Avva	PROP	Avva	AVVA			AVVA	AVVA:2	avva	2	1		kumpi:1	12017024|12017031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Tirhakah	Tirhakah	PROP	Tirhakah	TIRHAKAH			TIRHAKAH	TIRHAKAH:2	tirhakah	2	1		kumpi:2	12019009|23037009	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Rezef	Rezef	PROP	Rezef	REZEF			REZEF	REZEF:2	rezef	2	1		mi:2	12019012|23037012	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Telassar	Telassar	PROP	Telassar	TELASSAR			TELASSAR	TELASSAR:2	telassar	2	1		mi:2	12019012|23037012	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Nisrok	Nisrok	PROP	?	NISROK.POSS|NISROK	NISROK.POSS | NISROK		NISROK|NISROK.POSS	NISROK.POSS:1|NISROK:1	nisrok	2	1		pasian:2	12019037|23037038	1	0	1	polysemous_review			1	PROP:2	lexical	2	0	low	
Baladan	Baladan	PROP	?	BALADAN.POSS			BALADAN.POSS	BALADAN.POSS:2	baladan	2	1		kumpi:1|lai:1	12020012|23039001	0	0	0	clean			1	PROP:2	lexical	2	0	low	
merodak	merodak	UNK	Merodach	Merodach		Merodach	Merodach	Merodach:2	merodak-baladan	2	1		ta:1|ahi:1	12020012|23039001	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Tikvah	Tikvah	PROP	Tikvah	TIKVAH|TIKVAH.POSS			TIKVAH|TIKVAH.POSS	TIKVAH:1|TIKVAH.POSS:1	tikvah	2	1		ta:2	12022014|15010015	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Huldah	Huldah	PROP	Huldah	HULDAH			HULDAH	HULDAH:2	huldah	2	1		kamsang:2	12022014|14034022	0	0	0	clean			1	PROP:2	lexical	2	0	low	
gat	gat	N	weave	weave		weave	weave	weave:2	gat|gatna	2	2		puan:1|mun:1|siamte:1|ahi:1	12023007|24010009	0	0	0	clean			1	N:2	lexical	2	0	low	
Riblah-A	Riblah-A	PROP	?	RIBLAH			RIBLAH	RIBLAH:2	riblah-a	2	1		pia:1|uk:1	12025006|12025020	0	0	0	clean			1	PROP:2	lexical	2	0	low	
kawlsing	kawlsing	UNK	pomegranate	pomegranate		pomegranate	pomegranate	pomegranate:2	kawlsingte	2	1		mang:2	12025017|29001012	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Tanhumeth	Tanhumeth	PROP	?	TANHUMETH.POSS			TANHUMETH.POSS	TANHUMETH.POSS:2	tanhumeth	2	1		mi:1|ta:1	12025023|24040008	0	0	0	clean			1	PROP:2	lexical	2	0	low	
khaldea	khaldea	UNK	Khaldea	KHALDEA			KHALDEA	KHALDEA:2	“khaldea	2	1		ciam:1|tung:1	12025024|18001017	0	0	1	clean			1	UNK:2	lexical	2	0	low	
Evilmerodak	Evilmerodak	PROP	Evilmerodak	EVILMERODAK			EVILMERODAK	EVILMERODAK:2	evilmerodak	2	1		kumpi:1|ciang:1	12025027|24052031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
tunu	tunu	N	daughter	daughter		daughter	daughter	daughter:2	tunu|tunung	2	2		hi:2|pai:1|ciang:1	13001050|66004001	0	0	0	clean			1	N:2	lexical	2	0	low	
Ashhur	Ashhur	PROP	Ashhur	ASHHUR			ASHHUR	ASHHUR:2	ashhur	2	1		sat:2	13002024|13004005	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Jada	Jada	PROP	Jada	JADA|JADA.POSS			JADA|JADA.POSS	JADA:1|JADA.POSS:1	jada	2	1		tapa:1|sanggampa:1	13002028|13002032	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Abishur	Abishur	PROP	Abishur	ABISHUR|ABISHUR.POSS			ABISHUR|ABISHUR.POSS	ABISHUR:1|ABISHUR.POSS:1	abishur	2	1		tapa:1	13002028|13002029	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Seled	Seled	PROP	Seled	SELED			SELED	SELED:2	seled	2	1		tapa:1|hi:1	13002030|13002030	0	0	0	clean			1	PROP:2	lexical	2	0	low	
Appaim	Appaim	PROP	Appaim	APPAIM|APPAIM.POSS			APPAIM|APPAIM.POSS	APPAIM:1|APPAIM.POSS:1	appaim	2	1		tapa:1	13002030|13002031	0	0	0	clean			1	PROP:2	lexical	2	0	low	
